Interaction	COE	PWM	CLUSTER	DH	CNS	ChIP	GENIE3	KNN	Class
AT1G01260_AT1G11700	0	6.56	3.81	1974	7	0	0	0	0
AT1G01260_AT1G14620	0	0	0	0	0	0	0	0	0
AT1G01260_AT1G15950	0	5.68	2.58	2971	0	0	0	0	0
AT1G01260_AT1G23074	0	6.09	5.24	1049	0	0	0	0	0
AT1G01260_AT1G25240	0	6.36	4.44	635	0	0	0	0	0
AT1G01260_AT1G48090	0	5.27	1.85	0	0	0	0	3.13553341860678	0
AT1G01260_AT1G48990	0	5.7	2.5	0	0	0	0	3.5814302584366	0
AT1G01260_AT1G55205	0	5.17	2.43	0	0	0	0	0	0
AT1G01260_AT1G56410	0	5.45	2.94	0	0	0	0.0117214733328665	0	0
AT1G01260_AT1G66850	0	5.03	1.56	0	0	0	0	0	0
AT1G01260_AT1G80840	0	5.28	2.68	2618	0	0	0	3.87573385465426	0
AT1G01260_AT2G14890	0	5.16	4.23	1649	0	0	0	0	0
AT1G01260_AT2G24880	0	5.03	2.17	449	0	0	0	0	0
AT1G01260_AT2G27080	0.416295	6.1	4.16	1232	0	0	0.00857089227549845	0	0
AT1G01260_AT2G32765	0	0	0	0	0	0	0	0	0
AT1G01260_AT2G36270	0	8.29	4.83	3969	0	0	0	4.5175308985672	0
AT1G01260_AT2G37090	0	5.18	1.53	0	0	0	0	0	0
AT1G01260_AT2G38450	0	0	0	0	0	0	0	0	0
AT1G01260_AT2G41310	0	5.96	2.47	505	0	0	0	0	0
AT1G01260_AT2G44760	0	6.08	4.2	0	0	0	0	0	0
AT1G01260_AT3G06950	0	0	0	0	0	0	0	0	0
AT1G01260_AT3G18660	0	0	0	0	0	0	0	0	1
AT1G01260_AT3G19790	0	5.66	1.99	1598	0	0	0	0	0
AT1G01260_AT3G20420	0	0	0	0	0	0	0	0	0
AT1G01260_AT3G26230	0	5.11	2.75	806	0	0	0	0	0
AT1G01260_AT3G28120	0	5.3	2.39	0	0	0	0	0	0
AT1G01260_AT3G59430	0	5.71	2.71	0	0	0	0	0	0
AT1G01260_AT3G60530	0	5.33	3.14	150	5	0	0	0	0
AT1G01260_AT3G62020	0	5.84	2.28	0	0	0	0	0	1
AT1G01260_AT3G62720	0.59626	5.32	3.44	993	0	0	0	3.13553341860678	0
AT1G01260_AT4G00695	0	5	1.94	0	0	0	0	0	0
AT1G01260_AT4G21330	0	0	0	0	0	0	0	0	0
AT1G01260_AT4G21445	0	6.81	2.81	296	0	0	0	0	0
AT1G01260_AT4G28556	0	5.4	1.72	0	0	0	0	0	0
AT1G01260_AT5G02540	0	6.44	5.68	917	0	0	0	0	0
AT1G01260_AT5G47510	0	6.1	2.79	0	0	0	0	0	0
AT1G01260_AT5G48170	0	6.14	3.85	828	0	0	0	0	0
AT1G01260_AT5G53200	0	6.82	4.29	1229	0	0	0	0	0
AT1G01260_AT5G60690	0	6.34	2.37	0	0	0	0	0	1
AT1G01260_AT5G62150	0	5.65	3.02	1036	0	0	0	0	0
AT1G01260_AT5G62530	0	5.66	3.64	2074	0	0	0	0	0
AT1G01260_AT5G66700	0	5.48	2.07	0	0	0	0	0	0
AT1G01380_AT1G01500	0.614065	0	0	0	0	0	0	0	0
AT1G01380_AT1G06160	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G08430	0.53878	0	0	0	0	0	0.0346328382737086	0	0
AT1G01380_AT1G14530	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G14560	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G25270	0	0	0	0	0	0	0.00539747897741626	0	0
AT1G01380_AT1G25580	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G29910	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G31340	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G59780	0.568016	0	0	0	0	0	0	0	0
AT1G01380_AT1G66160	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G67900	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G68585	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G69810	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G72070	0	0	0	0	0	0	0	0	0
AT1G01380_AT1G79840	0	0	0	0	0	0	0	0	1
AT1G01380_AT2G15380	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G19450	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G25150	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G35930	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G36270	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G38960	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G42180	0	0	0	0	0	0	0	0	0
AT1G01380_AT2G43050	0	0	0	0	0	0	0.00695151442623725	0	0
AT1G01380_AT2G45050	0.668692	0	0	0	0	0	0.0128883851982121	0	0
AT1G01380_AT2G46710	0	0	0	0	0	0	0.0059938368891142	0	0
AT1G01380_AT3G03150	0	0	0	0	0	0	0	0	0
AT1G01380_AT3G05200	0	0	0	0	0	0	0	0	0
AT1G01380_AT3G08810	0	0	0	0	0	0	0	0	0
AT1G01380_AT3G26170	0	0	0	0	0	0	0	0	0
AT1G01380_AT3G53950	0	0	0	0	0	0	0	0	0
AT1G01380_AT3G56350	0	0	0	0	0	0	0	0	0
AT1G01380_AT3G57520	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G00695	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G23250	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G26550	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G27435	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G30140	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G34990	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G36260	0	0	0	0	0	0	0	0	0
AT1G01380_AT4G37175	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G04780	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G43810	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G47390	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G47500	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G62090	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G62280	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G62860	0	0	0	0	0	0	0	0	0
AT1G01380_AT5G63490	0	0	0	0	0	0	0	0	0
AT1G01530_AT1G05430	0	0	0	0	0	0	0	0	0
AT1G01530_AT1G05790	0	0	0	0	0	0	0	0	0
AT1G01530_AT1G08370	0	0	0	0	0	0	0	0	0
AT1G01530_AT1G13000	0	0	0	0	0	0	0	0	0
AT1G01530_AT1G21590	0	0	0	0	0	0	0	0	0
AT1G01530_AT2G03430	0	0	0	0	0	0	0	0	0
AT1G01530_AT2G14210	0	0	0	0	0	0	0	0	0
AT1G01530_AT2G19190	0	0	0	0	0	0	0	0	0
AT1G01530_AT2G22890	0	0	0	0	0	0	0	0	0
AT1G01530_AT2G30490	0	0	0	0	0	0	0	0	0
AT1G01530_AT2G35110	0	0	0	0	0	0	0	0	0
AT1G01530_AT3G20655	0	0	0	0	0	0	0	0	0
AT1G01530_AT3G21400	0	0	0	0	0	0	0	0	0
AT1G01530_AT3G22370	0	0	0	0	0	0	0	0	0
AT1G01530_AT3G48990	0	0	0	0	0	0	0	0	0
AT1G01530_AT3G58676	0	0	0	0	0	0	0	0	0
AT1G01530_AT4G01490	0	0	0	0	0	0	0	0	0
AT1G01530_AT4G02560	0	0	0	0	0	0	0	0	1
AT1G01530_AT4G09820	0.475012	0	0	0	0	0	0.0134086632174329	0	0
AT1G01530_AT4G16280	0	0	0	0	0	0	0	0	1
AT1G01530_AT4G17070	0	0	0	0	0	0	0	0	0
AT1G01530_AT4G31800	0	0	0	0	0	0	0	0	0
AT1G01530_AT4G35850	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G01530	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G02530	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G05113	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G13170	0	0	0	0	0	0	0.00825204584829287	0	0
AT1G01530_AT5G14290	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G18170	0.502369	0	0	0	0	0	0	0	0
AT1G01530_AT5G26570	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G41060	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G44030	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G44420	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G59720	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G64640	0	0	0	0	0	0	0	0	0
AT1G01530_AT5G65720	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G01380	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G05010	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G09960	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G10657	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G11050	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G14910	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G20900	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G27470	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G29910	0	0	0	0	0	0	0.00658117652508826	0	1
AT1G02340_AT1G31350	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G45230	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G77080	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G77780	0	0	0	0	0	0	0	0	0
AT1G02340_AT1G79840	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G16910	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G19806	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G27520	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G31350	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G36305	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G43320	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G45690	0	0	0	0	0	0	0	0	0
AT1G02340_AT2G46840	0.617377	0	0	0	0	0	0.00566236990873331	0	0
AT1G02340_AT3G01080	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G08970	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G15430	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G19590	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G19820	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G22920	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G53950	0	0	0	0	0	0	0	0	0
AT1G02340_AT3G58670	0.583857	0	0	0	0	0	0	0	0
AT1G02340_AT4G13420	0	0	0	0	0	0	0	0	0
AT1G02340_AT4G16780	0	0	0	0	0	0	0.0354438513850111	0	1
AT1G02340_AT4G25160	0	0	0	0	0	0	0	0	0
AT1G02340_AT4G26950	0	0	0	0	0	0	0	0	0
AT1G02340_AT4G32480	0	0	0	0	0	0	0.00606381275840721	0	0
AT1G02340_AT5G08450	0	0	0	0	0	0	0	0	0
AT1G02340_AT5G11890	0	0	0	0	0	0	0	0	0
AT1G02340_AT5G13930	0	0	0	0	0	0	0	0	1
AT1G02340_AT5G18570	0	0	0	0	0	0	0	0	0
AT1G02340_AT5G45110	0	0	0	0	0	0	0	0	0
AT1G02340_AT5G51070	0	0	0	0	0	0	0	0	0
AT1G02340_AT5G53370	0	0	0	0	0	0	0	0	0
AT1G02340_AT5G57670	0.608433	0	0	0	0	0	0	0	0
AT1G02970_AT1G05990	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G14315	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G22530	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G45120	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G48990	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G54170	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G61580	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G64060	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G71930	0	0	0	0	0	0	0	0	1
AT1G02970_AT1G77790	0	0	0	0	0	0	0	0	0
AT1G02970_AT1G80530	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G18210	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G21130	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G32765	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G37900	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G42030	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G42800	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G44760	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G46830	0	0	0	0	0	0	0	0	0
AT1G02970_AT2G47730	0	0	0	0	0	0	0	0	0
AT1G02970_AT3G06120	0	0	0	0	0	0	0	0	0
AT1G02970_AT3G26740	0	0	0	0	0	0	0	0	0
AT1G02970_AT3G44380	0	0	0	0	0	0	0	0	0
AT1G02970_AT3G57390	0	0	0	0	0	0	0	0	0
AT1G02970_AT3G57880	0	0	0	0	0	0	0	0	0
AT1G02970_AT4G03550	0	0	0	0	0	0	0	0	0
AT1G02970_AT4G12970	0	0	0	0	0	0	0	0	0
AT1G02970_AT4G13600	0	0	0	0	0	0	0	0	0
AT1G02970_AT4G26550	0	0	0	0	0	0	0	0	0
AT1G02970_AT4G37640	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G15140	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G44065	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G44680	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G50930	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G53370	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G60840	0	0	0	0	0	0	0	0	0
AT1G02970_AT5G62960	0	0	0	0	0	0	0	0	0
AT1G03970_AT1G09340	0	0	0	0	0	0	0	0	0
AT1G03970_AT1G23290	0	0	0	0	0	0	0	0	0
AT1G03970_AT1G32450	0	6.55	5.62	1878	0	0	0	0	0
AT1G03970_AT1G54110	0	0	0	0	0	0	0	0	0
AT1G03970_AT1G54220	0	5.02	1.66	716	0	0	0	0	0
AT1G03970_AT1G62360	0	0	0	0	0	0	0	0	0
AT1G03970_AT1G74470	0	5.48	2.14	1550	0	0	0	0	0
AT1G03970_AT1G79180	0	0	0	0	0	0	0	0	1
AT1G03970_AT2G03980	0	0	0	0	0	0	0	0	0
AT1G03970_AT2G19590	0	5.86	4.46	2754	0	0	0	0	0
AT1G03970_AT2G25470	0	5.59	3.95	0	0	0	0	0	0
AT1G03970_AT2G26510	0	0	0	0	0	0	0	0	0
AT1G03970_AT2G33580	0	0	0	0	0	0	0	0	0
AT1G03970_AT2G34050	0.552643	0	0	0	0	0	0	0	0
AT1G03970_AT2G41850	0	6.19	5.45	404	0	0	0	0	0
AT1G03970_AT2G47250	0	0	0	0	0	0	0	0	0
AT1G03970_AT3G05155	0	0	0	0	0	0	0	0	0
AT1G03970_AT3G13950	0	5.24	3.3	615	0	0	0	0	0
AT1G03970_AT3G16420	0	7.28	3.96	0	0	0	0	0	0
AT1G03970_AT3G18930	0	0	0	0	0	0	0	0	0
AT1G03970_AT3G21560	0	5.92	3.18	1837	0	0	0	0	0
AT1G03970_AT3G43120	0	7.25	3.52	1134	0	0	0	0	0
AT1G03970_AT3G43205	0	6.17	2.92	0	0	0	0	0	0
AT1G03970_AT3G52460	0	5.84	2.5	1010	0	0	0	0	0
AT1G03970_AT3G53020	0	5.07	1.91	0	0	0	0	0	0
AT1G03970_AT3G53680	0	0	0	0	0	0	0	0	0
AT1G03970_AT3G58710	0	5.68	2.73	1122	0	0	0	3.39287001500125	0
AT1G03970_AT3G62140	0.546617	6.31	2.8	867	0	0	0	4.48967889681907	0
AT1G03970_AT3G63540	0	0	0	0	0	0	0	0	0
AT1G03970_AT4G01100	0	5.68	3.5	2425	0	0	0	0	0
AT1G03970_AT4G22010	0.653479	5.05	1.99	20	0	0	0	0	0
AT1G03970_AT4G24160	0	0	0	0	0	0	0	0	0
AT1G03970_AT4G34150	0	5.12	1.55	0	0	0	0	0	0
AT1G03970_AT4G38740	0	5.74	4.36	350	0	0	0	0	0
AT1G03970_AT5G03740	0	0	0	0	0	0	0	0	0
AT1G03970_AT5G03830	0	5.18	1.67	0	0	0	0	0	0
AT1G03970_AT5G10310	0	0	0	0	0	0	0	0	0
AT1G03970_AT5G12870	0	5.77	2.68	443	0	0	0	0	0
AT1G03970_AT5G44065	0	6.77	3.31	0	0	0	0	3.18077795644899	0
AT1G03970_AT5G45100	0	6.35	3.07	262	8	0	0	0	0
AT1G03970_AT5G53200	0	6.33	5.18	1531	0	0	0	0	0
AT1G03970_AT5G56270	0	6.5	4.13	2343	0	0	0	4.17346327592631	0
AT1G03970_AT5G67400	0	7.18	6.29	0	0	0	0	0	0
AT1G04100_AT1G04120	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G18560	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G24140	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G29930	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G30490	0	0	0	0	0	0	0	0	1
AT1G04100_AT1G54217	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G73910	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G76320	0	0	0	0	0	0	0	0	0
AT1G04100_AT1G79620	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G03680	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G17760	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G19630	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G20060	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G25735	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G30300	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G43400	0	0	0	0	0	0	0	0	0
AT1G04100_AT2G44810	0	0	0	0	0	0	0	0	0
AT1G04100_AT3G05840	0	0	0	0	0	0	0	0	0
AT1G04100_AT3G14060	0	0	0	0	0	0	0	0	0
AT1G04100_AT3G51960	0	0	0	0	0	0	0	0	0
AT1G04100_AT3G55566	0	0	0	0	0	0	0	0	0
AT1G04100_AT4G26000	0	0	0	0	0	0	0	0	0
AT1G04100_AT4G35020	0	0	0	0	0	0	0	0	0
AT1G04100_AT5G08330	0	0	0	0	0	0	0	0	0
AT1G04100_AT5G11310	0	0	0	0	0	0	0	0	0
AT1G04100_AT5G13830	0	0	0	0	0	0	0	0	0
AT1G04100_AT5G63880	0	0	0	0	0	0	0	0	0
AT1G04100_AT5G64550	0	0	0	0	0	0	0	0	0
AT1G04370_AT1G07260	0	6.42	4.03	0	0	0	0	0	0
AT1G04370_AT1G12190	0	0	0	0	0	0	0	0	0
AT1G04370_AT1G17380	0	6.55	2.68	0	0	0	0	0	0
AT1G04370_AT1G25580	0	6.02	2.08	0	0	0	0	0	0
AT1G04370_AT1G37130	0	5.7	3.89	0	0	0	0	3.04740078109119	0
AT1G04370_AT1G49420	0	6.49	4.71	2116	0	0	0	0	0
AT1G04370_AT1G54130	0	0	0	0	0	0	0	0	0
AT1G04370_AT1G56250	0.620543	5.66	1.67	226	0	0	0	0	0
AT1G04370_AT1G59722	0	0	0	0	0	0	0	0	0
AT1G04370_AT1G66920	0.582937	5.2	1.8	0	0	0	0	0	0
AT1G04370_AT2G28671	0	0	0	0	0	0	0	0	0
AT1G04370_AT2G44840	0	5.85	2.96	0	0	0	0	0	1
AT1G04370_AT2G45620	0	5.15	1.61	942	0	0	0	0	0
AT1G04370_AT3G01680	0	0	0	0	0	0	0	0	0
AT1G04370_AT3G02840	0.606152	5.07	1.62	0	0	0	0	0	0
AT1G04370_AT3G03450	0	6.59	3.65	0	0	0	0	0	0
AT1G04370_AT3G10730	0	6.07	3.45	1302	0	0	0	0	0
AT1G04370_AT3G12920	0	5.57	2.01	2187	0	0	0	0	0
AT1G04370_AT3G20670	0	0	0	0	0	0	0	0	0
AT1G04370_AT3G23240	0.703595	5.6	2.35	1005	0	0	0	0	1
AT1G04370_AT3G57790	0	0	0	0	0	0	0	0	0
AT1G04370_AT4G00380	0.554235	5.59	1.89	0	0	0	0	0	0
AT1G04370_AT4G20740	0	5.56	1.94	1170	0	0	0	0	0
AT1G04370_AT4G21750	0	0	0	0	0	0	0	0	0
AT1G04370_AT4G24265	0	5.02	1.62	2245	0	0	0	0	0
AT1G04370_AT4G25160	0	0	0	0	0	0	0	0	0
AT1G04370_AT4G31800	0	7.24	4.03	1700	0	0	0	0	0
AT1G04370_AT4G36870	0	0	0	0	0	0	0	0	0
AT1G04370_AT4G39950	0.514737	6.55	3.27	0	0	0	0	0	0
AT1G04370_AT5G09620	0	0	0	0	0	0	0	0	0
AT1G04370_AT5G18170	0	0	0	0	0	0	0	0	0
AT1G04370_AT5G20520	0	6.62	2.81	0	0	0	0	0	0
AT1G04370_AT5G47229	0	5.53	1.89	0	0	0	0	0	0
AT1G04370_AT5G54585	0	6.34	4.31	494	0	0	0	0	0
AT1G04370_AT5G66580	0	6.74	3.24	236	0	0	0	0	0
AT1G04370_AT5G66740	0	5.81	2.05	2373	0	0	0	0	0
AT1G04550_AT1G03250	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G09480	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G29430	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G33970	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G65620	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G70530	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G70700	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G77640	0	0	0	0	0	0	0	0	0
AT1G04550_AT1G78240	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G16910	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G21520	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G26330	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G27500	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G37090	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G41260	0	0	0	0	0	0	0	0	0
AT1G04550_AT2G44610	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G04720	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G05160	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G15760	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G20710	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G24220	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G61630	0	0	0	0	0	0	0	0	0
AT1G04550_AT3G62140	0	0	0	0	0	0	0	0	0
AT1G04550_AT4G21570	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G01110	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G12870	0	0	0	0	0	0	0	0	1
AT1G04550_AT5G19930	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G22220	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G54690	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G60690	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G64550	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G65040	0	0	0	0	0	0	0	0	0
AT1G04550_AT5G67180	0	0	0	0	0	0	0	0	0
AT1G05380_AT1G16080	0	0	0	0	0	0	0	0	0
AT1G05380_AT1G18560	0	0	0	0	0	0	0	0	0
AT1G05380_AT1G27320	0.585935	0	0	0	0	0	0	0	0
AT1G05380_AT1G34750	0	0	0	0	0	0	0	0	0
AT1G05380_AT1G68640	0	0	0	0	0	0	0	0	0
AT1G05380_AT1G75410	0	0	0	0	0	0	0	0	1
AT1G05380_AT2G16910	0	0	0	0	0	0	0	0	0
AT1G05380_AT2G27810	0	0	0	0	0	0	0	0	0
AT1G05380_AT2G28620	0	0	0	0	0	0	0.0216628564892924	0	0
AT1G05380_AT3G13880	0	0	0	0	0	0	0	0	0
AT1G05380_AT3G21320	0	0	0	0	0	0	0.00534409426568462	0	0
AT1G05380_AT3G21410	0	0	0	0	0	0	0	0	0
AT1G05380_AT3G50220	0	0	0	0	0	0	0	0	0
AT1G05380_AT3G53020	0.604604	0	0	0	0	0	0	0	0
AT1G05380_AT3G57130	0	0	0	0	0	0	0	0	0
AT1G05380_AT3G58670	0.594097	0	0	0	0	0	0	0	0
AT1G05380_AT3G63460	0	0	0	0	0	0	0	0	0
AT1G05380_AT4G02560	0	0	0	0	0	0	0	0	0
AT1G05380_AT4G16590	0	0	0	0	0	0	0	0	0
